finetune_set	enhance_model	fusion	chime4_dt05_real	chime4_et05_real	ls_test_clean	ls_test_other	ls_test_clean_wham_-5_0db	ls_test_clean_wham_0_5db	ls_test_clean_wham_5_10db	ls_test_clean_wham_10_15db	ls_test_clean_wham_15_20db	ls_test_other_wham_-5_0db	ls_test_other_wham_0_5db	ls_test_other_wham_5_10db	ls_test_other_wham_10_15db	ls_test_other_wham_15_20db
ls_clean_100	DCUNet	fusion_interpolate_last			8.328895313451005	16.267695775939476	26.559646987218503	14.012096774193548	10.499087035909922	9.565200852099816	8.817711503347535	46.51051716561909	30.00783294805418	22.34682765603805	18.77806010354775	17.606938845690923
ls_clean_100	DPRNNTasNet	enhfromlibrimix					28.018487522824103	16.498021911138164	12.452449786975045	10.88519476567255	10.430614729153987	48.23949716294442	32.79139521999121	25.185793706894906	21.374395812238504	20.044705118162888
ls_clean_100	DPRNNTasNet	fusion_attention_first			8.32318928788801	15.70983703647097	25.528758368837494	15.257912355447353	11.077297626293364	9.574710894704808	8.694080949482654	43.15763330340256	28.712530806411557	21.408784364671494	18.18008138624076	16.55044609594406
ls_clean_100	DPRNNTasNet	fusion_attention_last			8.161518563603165	15.4882219207917	29.30234327449787	15.248402312842362	11.06208155812538	9.175289105295192	8.587568472306756	49.0418967197142	30.83888963185144	21.6170261544046	17.927898668398832	16.533251819727568
ls_clean_100	DPRNNTasNet	fusion_concat_first			8.50007608034084	16.812181189461818	23.7503804017042	14.282181984175288	11.121043822276324	9.454884357881925	8.785377358490566	42.88061440880347	28.964713524253483	21.78132701602889	18.80289628030491	17.50568366352712
ls_clean_100	DPRNNTasNet	fusion_concat_last			7.996043822276324	15.642970406740156	25.89394400486914	13.601262933657942	10.160529519172243	8.701688983566646	8.163420572124163	46.10740691209904	29.211164816689912	21.31708155818352	17.605028370555758	16.495042317024243
ls_clean_100	DPRNNTasNet	fusion_interpolate			8.296561168594035	16.892421145138798	24.45602556299452	14.181375532562386	10.599893487522824	9.226643335362144	8.684570906877664	44.47968209693751	29.310509523718547	21.9609116787345	19.04552662247101	17.37195040406549
ls_clean_100	DPRNNTasNet	fusion_interpolate_last			8.15581253804017	16.37468238350878	28.31329884357882	15.716296409007912	11.710666463785758	10.088253195374316	9.142954960438225	48.28152761591808	31.37191219456279	23.300154748485948	19.1926332078788	17.713925453260227
ls_clean_100	DPTNet	enhfromlibrimix			10.21758977480219	18.948092390577536	29.83110164333536	17.283551430310407	12.9165398660986	11.024041387705417	10.544735240413877	49.93982003324227	33.84979844487324	25.60800871176661	21.6227575798101	19.90141948302543
ls_clean_100	DPTNet	fusion_attention_first			8.180538648813148	15.82828649485127	27.52206329884358	15.387248934875227	10.670267802799756	9.006010346926354	8.460133901399878	46.75505798292036	30.32497182049176	22.27614007603691	18.111304281374775	16.69755268135185
ls_clean_100	DPTNet	fusion_attention_last			8.19765672550213	15.62577613052366	31.15489957395009	15.3130706025563	10.48006695069994	8.84433962264151	8.252814972611077	50.71738341325488	31.721529144298188	21.82335746900254	17.925988193263663	16.65361175324303
ls_clean_100	DPTNet	fusion_concat_first			8.665550821667681	16.678447930000193	26.21918746195983	15.139987827145466	10.658855751673768	9.232349360925136	8.31177723676202	45.41963586343924	29.7021569264276	22.44426188793153	19.112393252201823	18.12849855759127
